_id,productName,price.mrp,price.cost,price.discountPercent,subcategory,productImage,category,description,tagline,quantity,seller,createdAt,updatedAt,__v,reviews[0].rating,reviews[0].comment,reviews[0].reviewer,reviews[0].date,reviews[0]._id
662e1fb64a4c414982f5eb45,MERA 71 HERBICIDE,152,114,38,Herbicides,https://cdn.shopify.com/s/files/1/0722/2059/products/71herbicide.jpg?v=1671532501,Herbicides,"Product Description\nAbout Product\nExcel Mera 71 is a systemic, broad-spectrum, non-selective, post-emergent, herbicide.\nExcel Mera 71 gives complete and speedy control of hard to kill annual and perennial weeds.\nQuicker & Higher absorption - Faster in absorption by weeds and quicker in action than any other systemic herbicides of its class.\nExcel Mera 71 Herbicide Technical Details\nTechnical Content: Ammonium salt of Glyphosate 71% SG\nMode of Entry: Systemic Herbicide\nMode of Action: Mera 71 is absorbed on foliage application through green plant parts and is translocated rapidly throughout the plant to roots and storage organs. Mera 71 activity is by blocking the activity of the enzyme enolpyruvyl-shikimate-3 phosphate synthase (EPSPS) causing deficiency in aromatic amino acids: phenylalanine, tyrosine and tryptophan leading to plant death by starvation.\nKey Features and Benefits\nQuicker & Higher absorption.\nFaster kill as compared to IPA salt.\nHigher loading (active ingredient) per liter.\nBetter control of Broad leaf and hard to kill weeds.\nBetter rain fastness.\nCost-effective weed management.",MERA 71 HERBICIDE,1,662b71ba9ab72c5a6d14023f,2024-04-28T10:06:46.688Z,2024-04-28T10:06:46.688Z,0,,,,,
662e20ee4a4c414982f5eb7c,AGIL HERBICIDE,500,214,57,Herbicides,https://cdn.shopify.com/s/files/1/0722/2059/products/1_2_82138792-34c6-491b-9e92-e9babd9c97b9.webp?v=1671449710,Herbicides,"Product Description\nABOUT PRODUCT\nAgil Herbicide is a herbicide of the aryloxyphenoxy propionates family. It is used for the post-emergence control of a wide range of annual and perennial grasses.\nAgil is used for selective weed control in many broadleaf crops such as sugarbeet, oilseed rape, soybeans, sunflower, other field crops, vegetables, fruit trees, vineyards and forestry and best result is achieved when sprayed at the 2-4 leaf stage.\nAgil Herbicide is a systemic herbicide, which is quickly absorbed by the leaves and translocated from the foliage to the growing points of the leaves and roots of the sprayed weeds.\nRainfall 1 hour after application will not affect the product activity. Optimal activity is achieved when applied early and weeds are actively growing.\nAgil Herbicide is safe for beneficial insects and mammals and is environmentally friendly.\nTECHNICAL CONTENT\nPropaquizafop 10% EC\n\nFEATURES\nRainfall 1 hour after application will not affect the product activity. Optimal activity is achieved when applied early and weeds are actively growing.\nAGIL is safe to beneficial insects and mammals and is environmentally friendly.",AGIL HERBICIDE,1,662b71ba9ab72c5a6d14023f,2024-04-28T10:11:58.395Z,2024-04-29T08:51:33.353Z,1,3,this product is nice and work within a day i suggest to all ,662e97618b4efe6f529510f4,2024-04-29T08:51:33.344Z,662f5f958628548395eebd04
662e213f4a4c414982f5eb7e,SEMPRA HERBICIDE,281,229,19,Herbicides,https://cdn.shopify.com/s/files/1/0722/2059/products/4_bd3ad653-2283-4098-aa9f-1d13b22b22b8.webp?v=1671630228,Herbicides,"Product Description\nABOUT PRODUCT\nAgil Herbicide is a herbicide of the aryloxyphenoxy propionates family. It is used for the post-emergence control of a wide range of annual and perennial grasses.\nAgil is used for selective weed control in many broadleaf crops such as sugarbeet, oilseed rape, soybeans, sunflower, other field crops, vegetables, fruit trees, vineyards and forestry and best result is achieved when sprayed at the 2-4 leaf stage.\nAgil Herbicide is a systemic herbicide, which is quickly absorbed by the leaves and translocated from the foliage to the growing points of the leaves and roots of the sprayed weeds.\nRainfall 1 hour after application will not affect the product activity. Optimal activity is achieved when applied early and weeds are actively growing.\nAgil Herbicide is safe for beneficial insects and mammals and is environmentally friendly.\nTECHNICAL CONTENT\nPropaquizafop 10% EC\n\nFEATURES\nRainfall 1 hour after application will not affect the product activity. Optimal activity is achieved when applied early and weeds are actively growing.\nAGIL is safe to beneficial insects and mammals and is environmentally friendly.",SEMPRA HERBICIDE,1,662b71ba9ab72c5a6d14023f,2024-04-28T10:13:19.057Z,2024-04-28T10:13:19.057Z,0,,,,,
662e8dd08b4efe6f52950fd8,FERIO HERBICIDE,1304,759,42,Herbicides,https://cdn.shopify.com/s/files/1/0722/2059/products/1_12.webp?v=1671451237,Herbicides,"Product Description\nABOUT PRODUCT\nFERIO IS A NON-SELECTIVE, POST EMERGENT HERBICIDE USED FOR THE CONTROL OF PERENNIAL WEEDS IN PLANTATION CROPS.\nFERIO HAS GOT BROAD-SPECTRUM EFFICACY THAT CAN CONTROL BROAD LEAF AND GRASSY WEEDS.\nFERIO IS CONTACT HERBICIDE, ON BE SAFE TO THE CROP SPRAY HOOD MAY BE USED TO AVOID SPILL OF DRIFT ON CROPS.\nFERIO CAUSES NO HARM TO SOIL AND WATER.",FERIO HERBICIDE,1,662b71ba9ab72c5a6d14023f,2024-04-28T17:56:32.433Z,2024-04-28T17:56:32.433Z,0,,,,,
662e8e4f8b4efe6f52950fda,SWEEP POWER HERBICIDE,635,383,40,Herbicides,https://cdn.shopify.com/s/files/1/0722/2059/products/AGS-CP-786_1.webp?v=1682314097,Herbicides,"Product Description\nABOUT PRODUCT\nA new generation non-selective Herbicide, Very effective on hard to kill weeds and safe to applicator when used as per recommended protective spray.\nTECHNICAL CONTENT\nGlufosinate Ammonium 13.5% W/W SL\nFEATURES & BENEFITS\nFeatures\n\nBroad spectrum, non – selective, post emergent herbicide\nNo known weed resistance D36",SWEEP POWER HERBICIDE,1,662b71ba9ab72c5a6d14023f,2024-04-28T17:58:39.355Z,2024-04-28T17:58:39.355Z,0,,,,,
662e8ebe8b4efe6f52950fdc,NOMINEE GOLD HERBICIDE,704,499,29,Herbicides,https://cdn.shopify.com/s/files/1/0722/2059/files/AGS-CP-985_1.webp?v=1688730233,Herbicides,"Product Description\nABOUT PRODUCT\nNominee Gold Herbicide is a post-emergent, Broad Spectrum systemic herbicide for all types of Rice cultivation i.e. direct sown rice, rice nursery, and transplanted rice.\nTECHNICAL CONTENT\nBispyribac Sodium 10% SC\nFEATURES\nNominee Gold controls major grasses, Sedges, and broad leaf weeds of rice.\n\nNominee Gold offers a wide application window from 2-5 leaf stages of weeds.\n\nIt gives freedom of need-based application only when the weeds emerge.\n\nIt is safe for rice.\n\nIt gets absorbed quickly in weeds and results are unaffected even if it rains after 6 hours of application.\n\nNominee Gold has a low dosage of 80-120 ml/acre\n\nIt is safe for the environment.\n\nIt is cost-effective.\n\nUSAGE\nMode Of Action\n\nInhibition of acetolactate synthase ALS (acetohydroxyacid synthase AHAS).\nApplication:\n\n\nShake the bottle well before the well\n\nTargeted weeds should directly be exposed to NOMINEE GOLD spray\n\nUse Flat fan / Flood jet nozzle only\n\nEnsure uniform spray only\n\nAvoid Spray if rain is expected in 6 hrs.\n\nRe-flood the field within 48 - 72 hrs. of application.\n\nMaintain water for 5-7 days to suppress weed emergence.",NOMINEE GOLD HERBICIDE,1,662b71ba9ab72c5a6d14023f,2024-04-28T18:00:30.013Z,2024-04-28T18:00:30.013Z,0,,,,,
662e8f298b4efe6f52950fde,WEEDMAR 80 Herbicide,256,220,14,Herbicides,https://cdn.shopify.com/s/files/1/0722/2059/products/Artboard1copy4-2_1_b6126940-f03d-4a11-90d7-e342ce249223.webp?v=1674798173,Herbicides,"Product Description\nWeedmar Super (2,4-D Amine Salt 58% SL) and Weedmar are the selective, systemic weedicides of Phenoxyacetic group.\nTECHNICAL CONTENT\n2,4D Sodium Technical 80%\n\nFEATURES & BENEFITS\nFEATURES\nApart from effectively controlling broad leaf weeds, these also control the Cyperus sp.\nThere is no adverse effect on crops with recommended dose of Weedmar or Weedmar Super.\n",WEEDMAR 80 Herbicide,1,662b71ba9ab72c5a6d14023f,2024-04-28T18:02:17.026Z,2024-04-28T18:02:17.026Z,0,,,,,
662e8fd58b4efe6f52950fe0,SAAHO TOMATO SEEDS [TO-3251],1450,999,31,Tomato,https://cdn.shopify.com/s/files/1/0722/2059/products/Sahoo.jpg?v=1671198625,Seeds,"Product Description\nFEATURES\nDeterminate Plant\nGood Stay greenness\nDark green foliage\nGood Heat set\nVery Good Firm Fruits\nHigh Yield potential\n\nCHARACTERISTICS\nYield- Average yield: 25-40 MT/acre ( depending on season and cultural practice)\nSize- Round Shape\nShape- Flat Round type, uniform green\nWeight- 80-100g",SAAHO TOMATO SEEDS [TO-3251],1,662b71ba9ab72c5a6d14023f,2024-04-28T18:05:09.062Z,2024-04-28T18:05:09.062Z,0,,,,,
662e905d8b4efe6f52950fe2,SURABHI CORIANDER,250,208,17,Coriander,https://cdn.shopify.com/s/files/1/0722/2059/products/CORIANDAR-NS-SURABHI-500-GM.jpg?v=1680156641,Seeds,"Product Description\nSurabhi is a vigorous variety of coriander having excellent yield potential. Suitable for multiple cuts with very attractive, large, shiny leaves with having good aroma. It is a late-bolting variety and can be grown around the year.\n\nUSAGE\nFEATURES:\nType - multi-cut\nStalk height- 20 25 cm\nFoliage color- Dark green\nMATURITY: 35 days after sowing.\n",SURABHI CORIANDER,1,662b71ba9ab72c5a6d14023f,2024-04-28T18:07:25.137Z,2024-04-28T18:07:25.137Z,0,,,,,
662e90cb8b4efe6f52950fe4,212 BRINJAL SEEDS,200,175,13,Brinjal,https://cdn.shopify.com/s/files/1/0722/2059/files/14_128680d2-bb12-4cfd-8376-f9c2872b128f.webp?v=1689403884,Seeds,"Product Description\nKey Features:\nVNR 212 Brinjal Seeds is very high yielding early maturing hybrid seeds.\nIt fetches good market price due to attractive fruit colour & shine\n \n\nVNR 212 Brinjal Seeds Characteristics:\nBearing Type: Cluster bearing & continuous fruiting\nFruit Colour: Dark violet fruit with purplish calyx\nFruit Shape: Oblong\nFruit Weight: 100 to 150 gms\nFruit Size: Length 9.5-10.5 cm, Width 4.5-5.5cm",212 BRINJAL SEEDS,1,662b71ba9ab72c5a6d14023f,2024-04-28T18:09:15.990Z,2024-04-28T18:09:15.990Z,0,,,,,
